BLACK,,
H,S,L
5,20,14
5,20,25
5,20,35
5,40,14
5,60,14
5,80,14
5,100,14
10,20,14
10,20,25
10,20,35
10,40,14
10,60,14
10,80,14
10,100,14
15,20,14
15,20,25
15,20,35
15,40,14
15,60,14
15,80,14
15,100,14
20,20,14
20,20,25
20,20,35
20,40,14
20,60,14
20,80,14
20,100,14
25,20,14
25,20,25
25,20,35
25,40,14
25,60,14
25,80,14
25,100,14
30,20,14
30,20,25
30,20,35
30,40,14
30,60,14
30,80,14
30,100,14
35,20,14
35,20,25
35,20,35
35,40,14
35,60,14
35,80,14
35,100,14
40,20,14
40,20,25
40,20,35
40,40,14
40,60,14
40,80,14
40,100,14
45,20,14
45,20,25
45,20,35
45,40,14
45,40,25
45,60,14
45,80,14
45,100,14
50,20,14
50,20,25
50,20,35
50,40,14
50,40,25
50,60,14
50,80,14
50,100,14
55,20,14
55,20,25
55,20,35
55,40,14
55,40,25
55,60,14
55,80,14
55,100,14
60,20,14
60,20,25
60,20,35
60,40,14
60,60,14
60,80,14
60,100,14
65,20,14
65,20,25
65,40,14
65,60,14
65,80,14
65,100,14
70,20,14
70,20,25
70,40,14
70,60,14
70,80,14
70,100,14
75,20,14
75,20,25
75,40,14
75,60,14
75,80,14
75,100,14
80,20,14
80,20,25
80,40,14
80,60,14
80,80,14
80,100,14
85,20,14
85,20,25
85,40,14
85,60,14
85,80,14
85,100,14
90,20,14
90,40,14
90,60,14
95,20,14
95,40,14
95,60,14
95,80,14
95,100,14
100,20,14
100,20,25
100,40,14
100,60,14
100,80,14
100,100,14
105,20,14
105,20,25
105,40,14
105,60,14
105,80,14
105,100,14
110,20,14
110,20,25
110,40,14
110,60,14
110,80,14
110,100,14
115,20,14
115,20,25
115,40,14
115,60,14
115,80,14
115,100,14
120,20,14
120,40,14
120,60,14
120,80,14
120,100,14
125,20,14
125,40,14
125,60,14
125,80,14
125,100,14
130,20,14
130,20,25
130,40,14
130,60,14
130,80,14
135,20,14
135,40,14
135,60,14
135,80,14
140,20,14
140,20,25
140,40,14
140,60,14
140,80,14
140,100,14
145,20,14
145,20,25
145,40,14
145,60,14
145,80,14
145,100,14
150,20,14
150,20,25
150,40,14
150,60,14
150,80,14
150,100,14
155,20,14
155,20,25
155,40,14
155,60,14
155,80,14
155,100,14
160,20,14
160,20,25
160,40,14
160,60,14
160,80,14
160,100,14
165,20,14
165,20,25
165,40,14
165,60,14
165,80,14
170,20,14
170,20,25
170,40,14
170,60,14
170,80,14
170,100,14
175,20,14
175,20,25
175,40,14
175,60,14
175,80,14
175,100,14
180,20,14
180,20,25
180,40,14
180,60,14
180,80,14
180,100,14
185,20,14
185,20,25
185,40,14
185,60,14
185,80,14
185,100,14
190,20,14
190,20,25
190,40,14
190,60,14
190,80,14
190,100,14
195,20,14
195,20,25
195,40,14
195,60,14
195,80,14
195,100,14
200,20,14
200,20,25
200,40,14
200,60,14
200,80,14
200,100,14
205,20,14
205,20,25
205,40,14
205,60,14
205,80,14
205,100,14
210,20,14
210,20,25
210,40,14
210,60,14
210,80,14
210,100,14
215,20,14
215,20,25
215,40,14
215,60,14
215,80,14
215,100,14
220,20,14
220,20,25
220,40,14
220,60,14
220,80,14
220,100,14
225,20,14
225,20,25
225,40,14
225,60,14
225,80,14
225,100,14
230,20,14
230,20,25
230,40,14
230,60,14
230,80,14
230,100,14
235,20,14
235,20,25
235,40,14
235,60,14
235,80,14
235,100,14
240,20,14
240,20,25
240,40,14
240,60,14
240,80,14
240,100,14
245,20,14
245,20,25
245,40,14
245,60,14
245,80,14
245,100,14
250,20,14
250,20,25
250,40,14
250,60,14
250,80,14
250,100,14
255,20,14
255,20,25
255,40,14
255,60,14
255,80,14
255,100,14
260,20,14
260,20,25
260,40,14
260,60,14
260,80,14
260,100,14
265,20,14
265,20,25
265,40,14
265,60,14
265,80,14
265,100,14
270,20,14
270,20,25
270,40,14
270,60,14
270,80,14
270,100,14
275,20,14
275,20,25
275,40,14
275,60,14
275,80,14
275,100,14
280,20,14
280,20,25
280,40,14
280,60,14
280,80,14
280,100,14
285,20,14
285,20,25
285,40,14
285,60,14
285,80,14
285,100,14
290,20,14
290,20,25
290,40,14
290,60,14
290,80,14
290,100,14
295,20,14
295,20,25
295,40,14
295,60,14
295,80,14
295,100,14
300,20,14
300,20,25
300,40,14
300,60,14
300,80,14
300,100,14
305,20,14
305,20,25
305,40,14
305,60,14
305,80,14
305,100,14
310,20,14
310,20,25
310,40,14
310,60,14
310,80,14
310,100,14
315,20,14
315,20,25
315,40,14
315,60,14
315,80,14
315,100,14
320,20,14
320,20,25
320,40,14
320,60,14
320,80,14
320,100,14
325,20,14
325,20,25
325,40,14
325,60,14
325,80,14
325,100,14
330,20,14
330,20,25
330,40,14
330,60,14
330,80,14
330,100,14
335,20,14
335,20,25
335,40,14
335,60,14
335,80,14
335,100,14
340,20,14
340,20,25
340,40,14
340,60,14
340,80,14
340,100,14
345,20,14
345,20,25
345,40,14
345,60,14
345,80,14
